1,expresion,curso[1],Expresión Corporal y dramatización teatral
2,murga,curso[2],Murga Popular
3,rock,curso[3],Rock Urbano y Rock Rural
4,folklore,curso[4],Folklore Urbano y Folklore rural
5,fotografia,curso[5],Taller básico de fotografía digital / Video digital
6,robotica,curso[6],Taller de iniciación a la Robótica
7,porritas,curso[7],Cheerleader (porristas
8,diseno,curso[8],Diseño Web básico
9,feria,curso[9],Feria Juvenil "La media junta"
